device,故障小时,故障星期,故障月份,故障季度,是否周末,是否工作日高峰,维修时长_小时,响应时间_小时,维修类型,历史次数,上次间隔_小时,平均间隔_小时,间隔标准差_小时,近期趋势_比值,最近3次平均_小时,最近3次趋势,运行天数,故障频率_次每天,故障加速比,平均维修时长_小时,响应时间趋势,车站编码,品牌编码,线路编码,故障间隔_小时
1000030600,8,5,7,3,1,0,0.07,0.11666666666666667,0,6,1633.11,1084.4888888888888,679.2743617529492,1.505879881958165,1354.7777777777776,1.6639373345138029,281.8013888888889,0.021291591300019223,1.0,0.15,-0.3419444444444444,118,1,2,256.3
1000030600,21,4,8,3,0,0,0.12,0.06694444444444445,0,7,256.3,966.1761904761905,692.4484018578478,0.2652725274372856,1056.1166666666668,1.1751331753797283,288.33471064814813,0.02427734067904862,1.0,0.13857142857142857,-0.3428174603174603,118,1,2,156.79972222222221
1000030600,8,6,8,3,1,0,0.12,0.25,0,8,156.79972222222221,865.0041319444445,700.8563965420511,0.18127048927262246,682.0699074074074,0.6997277709427405,289.7736111111111,0.027607758930582784,1.0,0.13625,-0.11690972222222218,118,1,2,34.533611111111114
1000030600,11,3,8,3,0,0,0.12,0.28194444444444444,0,9,34.533611111111114,772.7296296296296,710.449586964905,0.04469041924433028,149.2111111111111,0.1375865743194559,293.89519675925925,0.030623161246736003,1.0,0.13444444444444445,-0.07197530864197527,118,1,2,98.91805555555555
1000030600,8,6,8,3,1,0,0.05,0.21666666666666667,0,10,98.91805555555555,705.3484722222222,703.6524265706756,0.14023997988187137,96.75046296296296,0.10013749450219535,296.76666666666665,0.033696506795462204,1.0,0.133,-0.13005555555555554,118,1,2,68.91527777777777
1000030600,15,2,8,3,0,0,0.1,0.2833333333333333,0,11,68.91527777777777,647.4909090909091,695.4064940379919,0.10643435577106701,67.45564814814814,0.07798303575236644,300.07152777777776,0.036657926466606344,1.0,0.12545454545454546,-0.05156565656565654,118,1,2,79.31666666666666
1000030600,8,0,9,3,0,1,0.1,0.26666666666666666,0,12,79.31666666666666,600.1430555555556,684.0694561710472,0.13216293337247928,82.38333333333333,0.10661340030633178,318.78680555555553,0.037642712279410004,1.0,0.12333333333333335,-0.06393518518518515,118,1,2,449.1666666666667
1000030600,9,5,9,3,1,0,0.17,0.06333333333333334,0,13,449.1666666666667,588.5294871794872,658.4628221372412,0.7632016346566671,199.13287037037037,0.28231842586994327,330.82444444444445,0.03929576613309509,1.0,0.12153846153846157,-0.26235042735042735,118,1,2,288.9033333333333
1000030600,14,1,9,3,0,0,0.28,0.20416666666666666,0,14,288.9033333333333,567.1276190476191,639.1856436354548,0.5094150304536328,272.46222222222224,0.4207969847801523,341.05121527777777,0.041049553183961966,1.0,0.12500000000000003,-0.1027777777777778,118,1,2,245.4425
1000057074,18,1,11,4,0,1,0.43,0.0,0,1,27.4975,27.4975,0.0,0.9999999996363306,27.4975,1.0,5.122731481481481,0.19520835780968993,1.0,0.37,0.0,149,2,4,95.44805555555556
1000057074,9,3,11,4,0,1,0.43,0.0,0,2,95.44805555555556,61.47277777777778,33.97527777777778,1.5526881815080895,61.47277777777778,1.0,6.7460300925925925,0.2964706608996718,1.0,0.4,0.0,149,2,4,38.95916666666667
1000057074,20,6,2,1,1,0,0.15,0.0,0,3,38.95916666666667,53.96824074074075,29.701556956922225,0.7218906179766834,53.96824074074075,1.0,108.22866898148148,0.027719088003505952,1.0,0.41,0.0,149,2,4,2435.5833333333335
1000057079,8,2,4,2,0,1,0.25,0.0,0,1,2566.5377777777776,2566.5377777777776,0.0,0.9999999999961038,2566.5377777777776,1.0,186.70631944444443,0.0053560051045704205,1.0,0.53,0.0,149,2,4,1914.4138888888888
1000057079,16,2,5,2,0,0,0.17,0.0,0,2,1914.4138888888888,2240.475833333333,326.0619444444444,0.8544675467586362,2240.475833333333,1.0,229.0444097222222,0.008731931080202029,1.0,0.39,0.0,149,2,4,1016.1141666666666
1000057079,8,1,8,3,0,1,0.17,0.0,0,3,1016.1141666666666,1832.3552777777775,635.6118077442226,0.5545399295563644,1832.3552777777775,1.0,325.68916666666667,0.009211236685285305,1.0,0.3166666666666667,0.0,149,2,4,2319.474166666667
1000057079,8,3,9,3,0,1,0.3,0.0,0,4,2319.474166666667,1954.1349999999998,589.4850972174562,1.186956974136791,1750.0007407407409,1.0,334.67538194444444,0.011951879988185069,1.0,0.28,0.0,149,2,4,215.66916666666665
1000057079,16,4,9,3,0,0,0.1,0.03333333333333333,0,5,215.66916666666665,1606.441833333333,872.6719294557129,0.13425270818415824,1183.7525,1.0,350.043125,0.014283954298488223,1.0,0.28400000000000003,0.03333333333333333,149,2,4,368.8258333333333
1000057141,13,5,2,1,1,0,0.2,0.05,0,1,528.6666666666666,528.6666666666666,0.0,0.9999999999810845,528.6666666666666,1.0,88.27430555555556,0.011328324745309365,1.0,0.33,0.05,38,2,4,1589.9166666666667
1000057141,15,5,3,1,1,0,0.12,0.15583333333333332,0,2,1589.9166666666667,1059.2916666666667,530.625,1.5009243598174795,1059.2916666666667,1.0,137.3615625,0.014560113932891526,1.0,0.265,0.13083333333333333,38,2,4,1178.0941666666668
1000057141,14,2,3,1,0,0,0.5,0.0,0,3,1178.0941666666668,1098.8925000000002,436.85815289563834,1.0720740806365918,1098.8925000000002,1.0,141.31597222222223,0.021229022826113664,1.0,0.21666666666666667,-0.06861111111111111,38,2,4,94.90583333333333
1000057141,6,5,4,2,1,0,0.1,0.034444444444444444,0,4,94.90583333333333,847.8958333333334,576.3087404741273,0.11193100567449502,954.3055555555557,1.0,171.99925925925925,0.02325591410815723,1.0,0.2875,-0.017013888888888884,38,2,4,736.3988888888889
1000057141,7,3,5,2,0,1,0.27,0.016666666666666666,0,5,736.3988888888889,825.5964444444446,517.3919814384174,0.8919598598507803,669.7996296296296,1.0,184.0125,0.027172067115005777,1.0,0.25,-0.03138888888888888,38,2,4,288.3177777777778
1000057141,17,4,5,2,0,1,0.28,0.145,0,6,288.3177777777778,736.0500000000002,513.0024827202947,0.39170950040603303,373.2075,0.33962148253501023,185.423125,0.03235842347064316,1.0,0.25333333333333335,0.10217592592592592,38,2,4,33.855
1000057141,16,6,6,2,1,0,0.2,0.5936111111111111,0,7,33.855,635.7364285714286,534.7452548909663,0.053253201292151,352.8572222222222,0.4161563347125706,229.38707175925927,0.030516105141908213,1.0,0.2571428571428572,0.5361904761904762,38,2,4,1055.1347222222223
1000057141,12,1,6,2,0,0,0.18,0.0,0,8,1055.1347222222223,688.1612152777777,519.0827819368482,1.5332667677020744,459.1025,0.5560858493078609,231.21180555555554,0.034600309360404875,1.0,0.25,-0.12444444444444444,38,2,4,43.79361111111111
