设备编号,维修时长_小时,维修响应_小时,累计故障次数,设备总故障次数,设备故障频率_次每天,最近3次平均间隔,上次故障间隔_小时,上次维修时长_小时,设备平均故障间隔,设备平均维修时长,故障小时,故障星期,是否周末,故障间隔_小时
1000001429,1.5,2.033333333333333,215,24,0.07847946045370938,393.71111111111105,218.2,0.17,341.1111111111111,0.3229166666666667,12,0,0,115.76666666666667
1000001429,0.25,0.03194444444444444,215,24,0.07847946045370938,115.22268518518518,115.76666666666667,1.5,341.1111111111111,0.3229166666666667,0,1,0,11.70138888888889
1000001429,0.33,2.9166666666666665,215,24,0.07847946045370938,46.21111111111111,11.70138888888889,0.25,341.1111111111111,0.3229166666666667,11,1,0,11.165277777777778
1000001429,0.18,0.15,215,24,0.07847946045370938,146.34444444444446,11.165277777777778,0.33,341.1111111111111,0.3229166666666667,19,4,0,416.1666666666667
1000001429,0.27,0.057777777777777775,215,24,0.07847946045370938,458.4747222222222,416.1666666666667,0.18,341.1111111111111,0.3229166666666667,7,2,0,948.0922222222222
1000001429,0.23,0.03333333333333333,215,24,0.07847946045370938,519.4444444444445,948.0922222222222,0.27,341.1111111111111,0.3229166666666667,9,3,0,194.07444444444445
1000001429,0.3,0.023333333333333334,215,24,0.07847946045370938,470.64222222222224,194.07444444444445,0.23,341.1111111111111,0.3229166666666667,15,0,0,269.76
1000001429,0.33,0.08333333333333333,215,24,0.07847946045370938,212.44148148148145,269.76,0.3,341.1111111111111,0.3229166666666667,20,0,0,173.49
1000001429,0.25,0.03333333333333333,215,24,0.07847946045370938,343.27777777777777,173.49,0.33,341.1111111111111,0.3229166666666667,7,4,0,586.5833333333334
1000001429,0.13,0.03333333333333333,215,24,0.07847946045370938,278.69111111111107,586.5833333333334,0.25,341.1111111111111,0.3229166666666667,11,0,0,76.0
1000001429,0.17,0.0,215,24,0.07847946045370938,587.3611111111111,76.0,0.13,341.1111111111111,0.3229166666666667,7,4,0,1099.5
1000001429,0.3,0.06666666666666667,215,24,0.07847946045370938,393.5,1099.5,0.17,341.1111111111111,0.3229166666666667,12,4,0,5.0
1000001429,0.32,0.016666666666666666,215,24,0.07847946045370938,511.7166666666667,5.0,0.3,341.1111111111111,0.3229166666666667,10,1,0,430.65
1000001429,0.5,0.0,215,24,0.07847946045370938,324.1666666666667,430.65,0.32,341.1111111111111,0.3229166666666667,19,2,0,536.85
1000001429,1.0,0.0,215,24,0.07847946045370938,610.6666666666666,536.85,0.5,341.1111111111111,0.3229166666666667,20,3,0,864.5
1000001429,0.25,0.0,215,24,0.07847946045370938,583.561111111111,864.5,1.0,341.1111111111111,0.3229166666666667,9,4,0,349.3333333333333
1000001429,0.1,0.016666666666666666,215,24,0.07847946045370938,544.6222222222223,349.3333333333333,0.25,341.1111111111111,0.3229166666666667,21,0,0,420.03333333333336
1000001429,0.08,0.0,215,24,0.07847946045370938,287.32453703703703,420.03333333333336,0.1,341.1111111111111,0.3229166666666667,17,4,0,92.60694444444445
1000001429,0.18,0.0,215,24,0.07847946045370938,188.25,92.60694444444445,0.08,341.1111111111111,0.3229166666666667,22,6,1,52.109722222222224
1000001429,0.17,0.03333333333333333,215,24,0.07847946045370938,115.37777777777778,52.109722222222224,0.18,341.1111111111111,0.3229166666666667,7,1,0,201.41666666666666
1000001429,0.17,0.1,215,24,0.07847946045370938,84.84212962962962,201.41666666666666,0.17,341.1111111111111,0.3229166666666667,8,1,0,1.0
1000001429,0.15,0.016666666666666666,215,24,0.07847946045370938,155.9722222222222,1.0,0.17,341.1111111111111,0.3229166666666667,10,5,1,265.5
1000001430,2.83,0.08333333333333333,177,14,0.03562781655915879,46.75,407.2986111111111,0.23,676.9702380952382,0.42857142857142855,8,6,1,46.75
1000001430,0.17,0.0,177,14,0.03562781655915879,253.79166666666666,46.75,2.83,676.9702380952382,0.42857142857142855,13,4,0,460.8333333333333
1000001430,0.4,0.0,177,14,0.03562781655915879,178.6111111111111,460.8333333333333,0.17,676.9702380952382,0.42857142857142855,18,5,1,28.25
1000001430,0.25,0.0,177,14,0.03562781655915879,691.4055555555556,28.25,0.4,676.9702380952382,0.42857142857142855,19,1,0,1585.1333333333334
1000001430,0.24,0.08333333333333333,177,14,0.03562781655915879,1160.25,1585.1333333333334,0.25,676.9702380952382,0.42857142857142855,14,2,0,1867.3666666666666
1000001430,0.17,0.18333333333333332,177,14,0.03562781655915879,1214.3333333333333,1867.3666666666666,0.24,676.9702380952382,0.42857142857142855,13,3,0,190.5
1000001430,0.17,0.0,177,14,0.03562781655915879,710.7055555555556,190.5,0.17,676.9702380952382,0.42857142857142855,15,6,1,74.25
1000001430,0.25,0.0,177,14,0.03562781655915879,288.0,74.25,0.17,676.9702380952382,0.42857142857142855,14,3,0,599.25
1000001430,0.13,0.18333333333333332,177,14,0.03562781655915879,561.1111111111112,599.25,0.25,676.9702380952382,0.42857142857142855,16,3,0,1009.8333333333334
1000001430,0.22,0.2,177,14,0.03562781655915879,606.1388888888889,1009.8333333333334,0.13,676.9702380952382,0.42857142857142855,9,5,1,209.33333333333334
1000001430,0.17,0.08333333333333333,177,14,0.03562781655915879,888.3333333333334,209.33333333333334,0.22,676.9702380952382,0.42857142857142855,15,2,0,1445.8333333333333
1000001430,0.33,1.5,177,14,0.03562781655915879,951.2777777777777,1445.8333333333333,0.17,676.9702380952382,0.42857142857142855,14,3,0,1198.6666666666667
1000001430,0.42,0.65,177,14,0.03562781655915879,969.2555555555556,1198.6666666666667,0.33,676.9702380952382,0.42857142857142855,13,0,0,263.26666666666665
1000001430,0.25,0.0,177,14,0.03562781655915879,653.4166666666666,263.26666666666665,0.42,676.9702380952382,0.42857142857142855,7,0,0,498.31666666666666
1000001434,0.23,0.05,88,9,0.02265138808789834,186.91666666666666,407.2986111111111,0.23,1080.3062345679014,0.83,8,6,1,186.91666666666666
1000001434,0.45,0.0,88,9,0.02265138808789834,97.475,186.91666666666666,0.23,1080.3062345679014,0.83,16,6,1,8.033333333333333
1000001434,0.17,0.16666666666666666,88,9,0.02265138808789834,797.9166666666666,8.033333333333333,0.45,1080.3062345679014,0.83,7,0,0,2198.8
1000001434,0.08,0.0,88,9,0.02265138808789834,1225.2973148148149,2198.8,0.17,1080.3062345679014,0.83,12,5,1,1469.058611111111
1000001434,3.05,0.03333333333333333,88,9,0.02265138808789834,1421.4333333333334,1469.058611111111,0.08,1080.3062345679014,0.83,9,2,0,596.4413888888889
1000001434,1.73,0.03333333333333333,88,9,0.02265138808789834,696.1333333333333,596.4413888888889,3.05,1080.3062345679014,0.83,7,3,0,22.9
1000001434,1.17,0.3333333333333333,88,9,0.02265138808789834,208.48046296296297,22.9,1.73,1080.3062345679014,0.83,14,3,0,6.1
1000001434,0.42,0.08333333333333333,88,9,0.02265138808789834,1066.1666666666667,6.1,1.17,1080.3062345679014,0.83,15,2,0,3169.5
1000001434,0.17,0.0,88,9,0.02265138808789834,1746.8687037037037,3169.5,0.42,1080.3062345679014,0.83,16,4,0,2065.0061111111113
1000001435,0.17,0.16666666666666666,81,5,0.019608911160738603,336.1666666666667,407.2986111111111,0.23,1291.1666666666665,0.568,7,2,0,336.1666666666667
1000001435,1.17,0.15444444444444444,81,5,0.019608911160738603,1275.2144444444443,336.1666666666667,0.17,1291.1666666666665,0.568,14,3,0,2214.262222222222
1000001435,0.17,0.0,81,5,0.019608911160738603,1898.2524074074074,2214.262222222222,1.17,1291.1666666666665,0.568,14,1,0,3144.3283333333334
1000001435,1.08,0.0,81,5,0.019608911160738603,2035.0,3144.3283333333334,0.17,1291.1666666666665,0.568,16,4,0,746.4094444444445
1000001435,0.25,0.08333333333333333,81,5,0.019608911160738603,1301.8014814814815,746.4094444444445,1.08,1291.1666666666665,0.568,7,5,1,14.666666666666666
1000001436,0.92,0.155,170,22,0.054707833889540196,3.0036111111111112,407.2986111111111,0.23,438.8305555555555,0.5259090909090909,18,2,0,3.0036111111111112
1000001436,1.08,0.2,170,22,0.054707833889540196,204.1876388888889,3.0036111111111112,0.92,438.8305555555555,0.5259090909090909,16,5,1,405.37166666666667
1000001436,0.3,0.08333333333333333,170,22,0.054707833889540196,337.3584259259259,405.37166666666667,1.08,438.8305555555555,0.5259090909090909,20,2,0,603.7
1000001436,0.17,0.016666666666666666,170,22,0.054707833889540196,348.3294444444445,603.7,0.3,438.8305555555555,0.5259090909090909,7,4,0,35.916666666666664
1000001436,1.0,0.1,170,22,0.054707833889540196,335.86666666666673,35.916666666666664,0.17,438.8305555555555,0.5259090909090909,15,5,1,367.98333333333335
1000001436,0.3,0.0,170,22,0.054707833889540196,751.2222222222223,367.98333333333335,1.0,438.8305555555555,0.5259090909090909,17,5,1,1849.7666666666667
1000001436,0.45,0.07222222222222222,170,22,0.054707833889540196,849.4925925925927,1849.7666666666667,0.3,438.8305555555555,0.5259090909090909,12,5,1,330.72777777777776
1000001436,0.13,0.0,170,22,0.054707833889540196,1110.474537037037,330.72777777777776,0.45,438.8305555555555,0.5259090909090909,11,4,0,1150.9291666666666
1000001436,0.62,0.13333333333333333,170,22,0.054707833889540196,532.6666666666666,1150.9291666666666,0.13,438.8305555555555,0.5259090909090909,7,2,0,116.34305555555555
1000001436,1.0,3.1666666666666665,170,22,0.054707833889540196,424.4796296296295,116.34305555555555,0.62,438.8305555555555,0.5259090909090909,13,2,0,6.166666666666667
